corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
금호전기,001210,유가증권시장,제조업,전기장비 제조업,전구 및 조명장치 제조업,전구 및 램프 제조업,전구 및 램프 제조업
금호타이어,073240,유가증권시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,,
기신정기,092440,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,기타 특수 목적용 기계 제조업,주형 및 금형 제조업
기아,000270,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업
깨끗한나라,004540,유가증권시장,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",,
남선알미늄,008350,유가증권시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","알루미늄 압연, 압출 및 연신제품 제조업"
남양유업,003920,유가증권시장,제조업,식료품 제조업,동·식물성 유지 및 낙농제품 제조업,,
남해화학,025860,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",비료 및 질소화합물 제조업,복합비료 및 기타 화학비료 제조업
넥센,005720,유가증권시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,,
넥센타이어,002350,유가증권시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,,
넥스틸,092790,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,
노루페인트,090350,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",일반용 도료 및 관련제품 제조업
녹십자,006280,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
농심,004370,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
다스코,058730,유가증권시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 제조업,구조용 금속 판제품 및 공작물 제조업
다이나믹디자인,145210,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
달바글로벌,483650,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
대덕전자,353200,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인쇄회로기판 및 전자부품 실장기판 제조업,
대동,000490,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,농업 및 임업용 기계 제조업,농업 및 임업용 기계 제조업
대동전자,008110,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,
대림바스,005750,유가증권시장,제조업,비금속 광물제품 제조업,"내화, 비내화 요업제품 제조업",비내화 일반도자기 제조업,위생용 및 산업용 도자기 제조업
대림통상,006570,유가증권시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,그 외 기타 금속가공제품 제조업,금속 위생용품 제조업
대상,001680,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
대양금속,009190,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",냉간 압연 및 압출 제품 제조업
대영포장,014160,유가증권시장,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업",골판지 및 골판지 가공제품 제조업,
대웅,003090,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대웅제약,069620,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대원강업,000430,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
대원전선,006340,유가증권시장,제조업,전기장비 제조업,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업
대원제약,003220,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대원화성,024890,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,플라스틱 합성피혁 제조업
대유에이텍,002880,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
