corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
대창스틸,140520,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",냉간 압연 및 압출 제품 제조업
대한광통신,010170,코스닥시장,제조업,전기장비 제조업,절연선 및 케이블 제조업,,
대한뉴팜,054670,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대한약품,023910,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
대호특수강,021040,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",철강선 제조업
대화제약,067080,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
더네이쳐홀딩스,298540,코스닥시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,,
더바이오메드,214610,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
더블유씨피,393890,코스닥시장,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
더코디,224060,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
덕산네오룩스,213420,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,
덕산테코피아,317330,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,
덕산하이메탈,077360,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,,
덕신이피씨,090410,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 제조업,구조용 금속 판제품 및 공작물 제조업
덕우전자,263600,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
덴티스,261200,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,,
동구바이오제약,006620,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
동국S&C,100130,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 제조업,
동국산업,005160,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",냉간 압연 및 압출 제품 제조업
동국생명과학,303810,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
동국알앤에스,075970,코스닥시장,제조업,비금속 광물제품 제조업,기타 비금속 광물제품 제조업,,
동국제약,086450,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
동방메디컬,240550,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,,
동방선기,099410,코스닥시장,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,선박 구성 부분품 제조업
동성화인텍,033500,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
동아엘텍,088130,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
동아화성,041930,코스닥시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,기타 고무제품 제조업,
