corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
로보쓰리에이아이,238500,코넥스시장,"전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",,
메디젠휴먼케어,236340,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
무진메디,322970,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
바이오인프라생명과학,266470,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
아퓨어스,149300,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,,
안지오랩,251280,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
에피바이오텍,446440,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
엔솔바이오사이언스,140610,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
이성씨엔아이,379390,코넥스시장,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
인바이츠바이오코아,216400,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
큐러블,086460,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
크로넥스,215570,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
티엘엔지니어링,413300,코넥스시장,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
퓨쳐메디신,341170,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
프로젠,296160,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
플럼라인생명과학,222670,코넥스시장,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,,
에이원알폼,234070,코넥스시장,"사업시설 관리, 사업 지원 및 임대 서비스업",임대업; 부동산 제외,산업용 기계 및 장비 임대업,건설 및 토목공사용 기계ㆍ장비 임대업,건설 및 토목공사용 기계ㆍ장비 임대업
미래엔에듀파트너,208890,코넥스시장,교육 서비스업,교육 서비스업,교육지원 서비스업,,
타조엔터테인먼트,476710,코넥스시장,"예술, 스포츠 및 여가관련 서비스업","창작, 예술 및 여가관련 서비스업",창작 및 예술관련 서비스업,,
